100.0001	2294
125.0001	1487
150.0001	1025
200.0001	550.8
250.0001	329.2
300.0001	211.7
350.0001	143.4
400.0001	101.2
450.0001	73.66
500.0001	54.95
550.0001	41.76
600.0001	32.27
650.0001	25.38
700.0001	20.16
750.0001	16.22
800.0001	13.17
850.0001	10.74
900.0001	8.864
950.0001	7.352
1000.0001	6.127
1050.0001	5.159
1100.0001	4.351
1150.0001	3.681
1200.0001	3.133
1250.0001	2.678
1300.0001	2.297
1350.0001	1.975
1400.0001	1.704
1450.0001	1.474
1500.0001	1.279
1550.0001	1.112
1600.0001	0.9692
1650.0001	0.8451
1700.0001	0.7405
1750.0001	0.6485
1800.0001	0.5698
1850.0001	0.5007
1900.0001	0.4408
1950.0001	0.3896
2000.0001	0.3444
